.//linear-algebra/blas/syr2k,1.18277166,2.93200,1.22598366,1.46100
.//linear-algebra/blas/syrk,0.36949000,0.07800,0.36156266,2.65300
.//linear-algebra/blas/gesummv,0.00130166,1.12600,0.00126166,0.44800
.//linear-algebra/blas/gemver,0.00996766,0.31400,0.00956133,0.17000
.//linear-algebra/blas/gemm,0.42866833,0.65300,0.46224000,0.16700
.//linear-algebra/blas/trmm,0.56500233,1.95900,0.55713600,1.62900
.//linear-algebra/blas/symm,1.50694566,1.28900,1.50680866,0.93000
.//linear-algebra/kernels/doitgen,0.31778500,2.00600,0.31296300,0.86900
.//linear-algebra/kernels/3mm,1.60132933,1.44900,0.97613133,1.52700
.//linear-algebra/kernels/bicg,0.00724833,2.18900,0.00715500,0.40500
.//linear-algebra/kernels/mvt,0.00692266,3.12500,0.00638266,1.18500
.//linear-algebra/kernels/2mm,0.80773900,1.30200,0.72318833,0.76600
.//linear-algebra/kernels/atax,0.00451700,0.99600,0.00455066,1.83100
.//linear-algebra/solvers/gramschmidt,2.33032166,1.39700,2.24346433,2.54400
.//linear-algebra/solvers/trisolv,0.00165466,0.68500,0.00169333,0.31400
.//linear-algebra/solvers/ludcmp,1.94683433,0.65600,1.99980766,0.25700
.//linear-algebra/solvers/lu,2.11712366,1.02700,2.14139933,0.08700
.//linear-algebra/solvers/cholesky,0.96922800,1.97700,0.99228300,0.63300
.//linear-algebra/solvers/durbin,0.00220666,3.14200,0.00224100,2.72100
.//datamining/covariance,1.95633400,2.33400,1.97716733,2.96600
.//datamining/correlation,1.95331666,2.09600,2.01125433,0.81800
.//stencils/jacobi-2d,1.40670666,0.65700,1.41663066,1.24200
.//stencils/fdtd-2d,1.47023400,0.59900,1.45869866,0.63100
.//stencils/adi,6.02193566,0.23000,5.99724933,0.41700
.//stencils/heat-3d,2.64276533,0.37700,2.53397433,1.76600
.//stencils/jacobi-1d,0.00070133,2.89800,0.00070600,3.54100
.//stencils/seidel-2d,14.17978133,2.77900,14.27018866,0.09400
.//medley/deriche,0,0,0,0
.//medley/nussinov,2.55664166,0.33300,2.51140833,1.12800
.//medley/floyd-warshall,12.21597266,1.17500,10.11415400,0.38000
